appid,current_players
2139460,36424
2357570,26457
2767030,63058
2073850,11633
2923300,104953
2507950,125200
1665460,12048
1625450,762
2074920,6902
1818450,9596
2016590,12234
1568590,9065
2709570,5603
1782210,18374
1449850,25853
1180320,2430
1928420,1025
1973530,18482
760160,238
2349820,6820
1419170,815
2281730,987
1962663,7
2021910,118
2551020,898
2429640,14612
1920960,10859
2420510,1031
1961460,181
2524890,1387
1276390,525
3300020,22
3291100,25
835570,5040
1977530,232
3250090,4
3471330,4
3422960,14
2707930,4587
872200,161
1997040,2991
1782380,117
985810,4698
2263010,16
1280770,166
1902490,19
1282270,3862
2504480,29
307950,988
1869590,218
1797880,1154
1367080,1728
2009240,1
2324650,23
1969870,669
2707900,108
1549250,2407
2641470,3
2012840,15
1241510,2
1949740,78
1590320,34
2448970,5
2141910,5941
1283700,614
1607250,1897
2313250,9
2495980,212
2225070,1440
1974050,4781
2232840,21
2622000,5489
2325290,3876
1568400,64
2943650,5874
1815780,1220
2305790,110
2167580,1008
1985690,7
2784840,52
2121360,7
1623660,14391
1647160,5
2064650,611
1671200,145
3274300,57
2415010,144
1749630,48
2157110,15
1352080,382
2795000,21
1481400,4
2808930,3739
2791440,402
1290490,4
1675900,106
1942120,8
2426960,11769
2696480,51
1927780,296
2608050,6
1891700,3053
1941780,70
207230,1
2381620,27
2570630,11
2240530,12
1740100,27
2667970,10
2668080,1218
1537830,197
2368470,18
1812820,505
1997680,6
2229850,1596
2551500,10
2239140,261
1926680,3
1881700,469
2771670,1
1962660,1
1655140,1
2289970,24
2410490,36
2930160,2
2739600,406
1485080,11
2056220,20
298260,2
2220360,30
1482620,9
1742020,49
1535560,2518
850170,431
1610870,1
2343650,76
1641270,1
2811830,108
1593310,11
2293600,4
225600,1
2422870,70
3199170,3758
1827180,922
2484250,322
2540100,79
2600140,4
2905170,46
231160,1
3103840,326
2386720,196
1625080,6
2237980,1
1973710,2818
992310,1
1854430,2
1910580,15
1528080,9
1580970,2
2870840,13
862690,1
2796550,7
2250060,8
3269960,72
2758540,6
1453490,11
1630080,25
981600,152
2933290,8
2977660,40
2796340,40
1279510,137
2772560,175
1220840,1
3231090,2288
1628620,2
2512840,6
3339420,391
2167960,148
2687190,1
2088250,19
315430,1
1976440,680
391270,3
2526380,1045
1399720,1202
3064370,261
1955960,75
3275270,88
236510,2
1896170,52
2732960,1101
2376580,813
2667430,3
2078450,9
1304510,7
2321210,1
3068300,76
1954420,707
2743080,3
2353760,6
2250090,2
2594920,3
2135690,4
2763740,18968
2962300,1061
2951630,545
2963870,328
1777760,68
247910,5
1754720,84
1999740,9
2756770,66
1904820,23
2186570,6
407900,1
1069230,8
2197910,55
2484110,1183
2180600,116
1600530,56
290770,2
461840,1
743640,1
2143030,39
1860570,2
2832330,1432
1568940,1
1426440,6
2719150,9
1985170,190
2612680,12
2348120,20
1511270,3
244870,1
1948430,12
2985610,6
2207540,1
992640,2
2171690,3
3100110,55
2471100,4691
527450,1
497640,1
1131080,12
2776810,1
1776160,1
1603980,5
2739990,708
1641650,342
2735630,19
840140,1
1878910,20
1574700,10
2056560,1
3270680,18
2762230,26
952250,1
1511860,2
2433730,14
888090,1
2594640,9
2918150,1092
1568540,7
1048370,263
1174940,1
3300410,72
2449710,164
1860860,5
251170,1
1442670,20
1428870,2
57400,1
278890,5
2328760,70
1959480,1
658560,1
2994430,126
2173600,4
3015610,16
1873030,18
2373630,11
2491360,47
2486750,6
2903690,1420
665490,1
542310,1
1870300,157
2158500,2
1799370,68
1487390,3
331480,1
1747650,2
2487070,4
415270,2
622630,1
2674810,13
2057080,2
1131620,170
1597480,107
654990,2
2371630,131
2176560,7
1781160,5
3337600,19
331370,25
1905950,167
2346550,482
2333480,883
2389120,160
2919650,17
2994020,249
2209150,3
2093940,95
361550,2
3092660,1171
1421790,4
1147510,2
2803000,1
2004320,10
2067850,117
249680,1
1283130,1
358090,1
368950,1
2976910,12
2845250,1
1610900,4
2119740,5
3279120,38
2788630,14
1785820,4
1850480,2
1990690,73
1574360,986
3101720,30
3114410,1239
1148350,77
2434340,3
3052450,516
2272420,13
467360,2
2626910,12
2764370,2392
2022270,10
2690970,10
866020,53
2672090,1
2423320,10
1332470,1
588970,1
695920,2
342380,1
513450,2
1743260,10
1484800,1
1626890,4
284460,1
2845270,4
957790,1
466940,1
1958390,38
2973390,2
1612620,1
265330,1
2507640,23
951000,1
2479830,85
1287040,2
242840,2
1259440,70
1210030,4
1342260,15
2363730,8
488440,3
2051500,1
1476520,1
1901200,1
1986760,1
2845260,1
2834910,23
531960,1
2610090,8
1590360,2
2224850,2
467380,1
1368860,1
1694200,17
2121150,2
342980,3
217920,2
2654860,65
618740,3
2172260,1
2153310,12
2316660,7
1574000,52
757300,3
2229870,194
2273550,10
2725560,565
1473250,9
1839660,4
2756830,12
2466680,46
3177920,70
3008200,52
2880460,7
3247080,1085
2831340,3
2876550,20
2304990,6
1757610,1
525360,1
356520,1
1877960,799
2149290,2
2684500,547
2279510,2
2517850,1
314230,1
2901140,2
2529130,4
80310,1
2621150,2
445130,3
2519830,146
2160000,3
1614730,1
273500,1
297120,1
1928430,2
1887930,65
529590,2
1803190,3
2904320,5
1895130,12
2626940,240
1753410,104
1375870,1
1256230,1
415860,1
2954780,19
1290260,3
251630,2
2448340,6
2892880,796
3017120,71
1959960,3
3378000,10
253510,2
1026840,2
2989820,459
509580,4
514920,1
410850,6
2658820,5
264730,1
1254130,32
1890650,9
2823860,2
436110,1
2386250,6
355150,1
227080,1
1786950,4
269030,1
301750,12
2888980,4
1903370,1
658570,1
1973970,55
1577420,2
3217240,871
2258890,41
3017450,368
95700,1
1504740,1
2692440,405
1572920,7
669950,1
223510,1
431650,2
585840,1
3347400,604
1871990,1
2484990,5
1840660,5
2551170,1
940680,3
425210,1
3010230,125
2267810,1
2590150,173
2854290,7
2248950,10
2564660,58
242960,1
1583570,1
397430,35
2308650,1
2845320,6
696220,3
2502760,37
1362420,1
248970,3
2866360,4
3419430,136248
365070,1
1162130,2
1582890,1
2920270,259
294140,2
320820,1
453270,1
318530,2
2861560,4
1541250,1
1019310,1
2527690,10
1653970,80
3253830,12
1571200,169
2230170,2
1005870,2
1941000,147
63200,1
1628760,1
2742840,13
217100,1
253920,4
574310,1
